method,mean_jaccard,std_jaccard,min_jaccard,max_jaccard,num_runs,num_pairs
adaptive_lasso,0.9872590676518671,0.004247102980061563,0.9823321554770318,0.9964664310954063,5,10
dynamic_reweighted_lasso_fista,0.27212512052234733,0.06365032019481207,0.15172413793103448,0.3828125,5,10
dynamic_reweighted_lasso_ista,0.29228725039449693,0.06936056701059536,0.15894039735099338,0.4,5,10
lasso,0.7689303986240856,0.018696599399045923,0.730909090909091,0.7985074626865671,5,10
ridge,0.9957572112372504,0.002643615727941471,0.9929328621908127,1.0,5,10
