method,solver,val_mse,val_mae,test_mse,test_mae,nnz,runtime_s,iterations
dynamic_reweighted_lasso_fista,fista,798430563.0702212,18380.577001892663,828667214.9136565,17935.6266319796,92,0.2318681590013511,2500.0
dynamic_reweighted_lasso_ista,ista,778965140.9490047,18090.045098907256,830975941.2048745,18186.17699240722,99,0.2207678519989713,2500.0
ridge,sklearn_ridgecv,787378459.1835155,18167.596525367524,865125926.2297935,18647.05160813634,283,0.0240332759994998,
lasso,sklearn_lassocv,895357083.9040277,19943.11498063878,894021355.3213253,19470.818271987737,240,3.26278962699962,
adaptive_lasso,fista,911144802.0004896,20005.69724356788,894529896.3746411,19505.95387464254,282,0.0855895559998316,1000.0
