method,solver,val_mse,val_mae,test_mse,test_mae,nnz,runtime_s,iterations
dynamic_reweighted_lasso_ista,ista,32910032975.06194,179010.841606944,33984833781.65506,181975.1070627314,234,0.252840442998604,3000
dynamic_reweighted_lasso_fista,fista,32892097088.917114,178905.74329126131,33945263199.7618,181815.8346882199,231,0.21972730399920692,2500
