method,solver,val_mse,val_mae,test_mse,test_mae,nnz,runtime_s,iterations
ridge,sklearn_ridgecv,787378459.1835155,18167.596525367524,865125926.2297935,18647.05160813634,283,0.0367050470013055,
lasso,sklearn_lassocv,895357083.9040277,19943.11498063878,894021355.3213253,19470.818271987737,240,3.024197348000598,
adaptive_lasso,fista,911144802.0004897,20005.69724356788,894529896.3746411,19505.95387464254,282,0.08375011699899915,1000.0
