method,solver,runtime_s,iterations,val_mse,test_mse
adaptive_lasso,fista,0.0855895559998316,1000.0,911144802.0004896,894529896.3746411
dynamic_reweighted_lasso_ista,ista,0.2207678519989713,2500.0,778965140.9490047,830975941.2048745
dynamic_reweighted_lasso_fista,fista,0.2318681590013511,2500.0,798430563.0702212,828667214.9136565
