method,solver,val_mse,val_mae,test_mse,test_mae,nnz,runtime_s,iterations
ridge,sklearn_ridgecv,787378459.1835155,18167.596525367524,865125926.2297935,18647.05160813634,283,0.0237261829997805,
lasso,sklearn_lassocv,895357083.9040277,19943.11498063878,894021355.3213253,19470.818271987737,240,3.066748453999935,
adaptive_lasso,ista,32952029430.096367,179017.6406677034,33986052270.46804,181928.76376101407,283,0.0818087600000581,1000.0
dynamic_reweighted_lasso_ista,ista,32910032975.06194,179010.841606944,33984833781.65506,181975.1070627314,234,0.252840442998604,3000.0
dynamic_reweighted_lasso_fista,fista,32892097088.917114,178905.74329126131,33945263199.7618,181815.8346882199,231,0.21972730399920692,2500.0
